,device_model_name,selenium_download
941,BLA-L29,
942,Lenovo TB-8504X,
943,HTC 10,
944,I1927,
945,M5 Plus,
946,VTR-L29,
947,T02,
948,LM-X600IM,
949,PH-1,
950,LS-5014,
951,SM-N975U1,
952,SM-G970U1,
953,FRD-L09,
954,AUM-L29,
955,HTC Desire 626GPLUS dual sim,
956,Lenovo TB-X304L,
957,LUA-L22,
958,LND-L29,
959,ASUS_Z008D,
960,1861,
961,HTC Desire 816G dual sim,
962,LG-H630D,
963,YU5012,
964,HTC One A9,
965,Lenovo PB-6505M,
966,HTC Desire 820G PLUS dual sim,
967,Micromax E4815,
968,itel A62,
969,VOTO V2,
970,itel S21,
971,Panasonic P85 NXT,
972,Eluga I9,
973,NX541J,
974,H4331,
975,PixelV1,
976,YU 6000,
977,itel A21,
978,A97 2GB,
979,1804,
980,U,
981,XT1572,
982,GM1913,
983,itel-it1520,
984,Micromax Q4601,
985,SM-G960W,
986,JAT-L29,
987,G3312,
988,Era_4X_2GB,
989,SM-N960U1,
990,SM-G361H,
991,1821,
992,ONE A2005,
993,Micromax E311,
994,KIW-L21,
995,Panasonic P95,
996,Karbonn Aura Sleek 4G,
